coursereferencenumber,coursetitle,trainingprovideralias,skill_cluster,full_course_fee,course_fee_after_subsidies,usd_list,usd_after_ssg,courseratings_stars,courseratings_noofrespondents,attendancecount,number_of_hours,lookup_url,already_in_scored_catalogue
TGS-2025052570,WSQ High-Tech Crab Farming: Sustainable Aquaculture Solutions,WONG FONG ACADEMY PTE. LTD.,esg_reporting,800.0,400.0,624.0,312.0,,,27.0,14.5,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2025052570,False
TGS-2025053333,WSQ High-Tech Shrimp Farming: Sustainable Aquaculture Solutions,WONG FONG ACADEMY PTE. LTD.,esg_reporting,800.0,400.0,624.0,312.0,,,4.0,15.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2025053333,False
TGS-2023020275,WSQ Sustainable Management of Food Waste and Disposal,WILLIAM ANGLISS INSTITUTE PTE. LTD.,esg_reporting,829.0,414.5,646.62,323.31,4.0,1.0,19.0,27.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2023020275,False
TGS-2024043078,(SCTP) Retail Management and Sustainable Practices (SF - Manager) [Classroom Facilitated] (FT),Nanyang Polytechnic,esg_reporting,840.0,252.0,655.2,196.56,,,,24.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024043078,False
TGS-2023021536,"Sustainability for Practitioners: Sustainability Reporting Benchmarking Environmental, Social and Governance (ESG) Performance",SINGAPORE POLYTECHNIC,esg_reporting,840.0,252.0,655.2,196.56,4.5,87.0,95.0,16.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2023021536,False
TGS-2022011790,Climate Change and the Environment,Republic Polytechnic,esg_reporting,849.0,254.7,662.22,198.666,,,,30.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2022011790,False
TGS-2023018037,Farm Waste Management,Republic Polytechnic,esg_reporting,849.0,254.7,662.22,198.666,,,,30.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2023018037,False
TGS-2022011803,Hazardous Waste Management,Republic Polytechnic,esg_reporting,849.0,254.7,662.22,198.666,,,1.0,30.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2022011803,False
TGS-2022011784,Recycling and Resource Recovery,Republic Polytechnic,esg_reporting,849.0,254.7,662.22,198.666,,,,30.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2022011784,False
TGS-2022011783,Urban Ecology and Biodiversity,Republic Polytechnic,esg_reporting,849.0,254.7,662.22,198.666,5.0,2.0,28.0,30.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2022011783,False
TGS-2021005392,Climate Change for Organisation Management (Classroom & Asynchronous),NATIONAL UNIVERSITY OF SINGAPORE,esg_reporting,850.0,255.0,663.0,198.9,,,,8.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2021005392,False
TGS-2021006448,Climate Change for Organisation Management (Synchronous e-learning),NATIONAL UNIVERSITY OF SINGAPORE,esg_reporting,850.0,255.0,663.0,198.9,,,32.0,9.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2021006448,False
